id,domain,title,description,courses,duration0,difficulty,created_at,updated_at
1,Web Development,Learning Path 1,Description for learning path 1. This path includes various courses related to Web Development.,"1,2,3,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
2,Data Science,Learning Path 2,Description for learning path 2. This path includes various courses related to Data Science.,"1,2,3,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
3,Machine Learning,Learning Path 3,Description for learning path 3. This path includes various courses related to Machine Learning.,"2,3,5",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
4,Cybersecurity,Learning Path 4,Description for learning path 4. This path includes various courses related to Cybersecurity.,"2,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
5,Cloud Computing,Learning Path 5,Description for learning path 5. This path includes various courses related to Cloud Computing.,"1,2,3",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
6,Web Development,Learning Path 6,Description for learning path 6. This path includes various courses related to Web Development.,"1,4,5,7,8",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
7,Data Science,Learning Path 7,Description for learning path 7. This path includes various courses related to Data Science.,"1,2,3,4,5",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
8,Machine Learning,Learning Path 8,Description for learning path 8. This path includes various courses related to Machine Learning.,"2,3,5,8,10",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
9,Cybersecurity,Learning Path 9,Description for learning path 9. This path includes various courses related to Cybersecurity.,"3,4,5,6,9",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
10,Cloud Computing,Learning Path 10,Description for learning path 10. This path includes various courses related to Cloud Computing.,"1,2,3,7",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
11,Web Development,Learning Path 11,Description for learning path 11. This path includes various courses related to Web Development.,"1,2,4,5",10,intermediate,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
12,Data Science,Learning Path 12,Description for learning path 12. This path includes various courses related to Data Science.,"1,3,5,8",10,advanced,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
13,Machine Learning,Learning Path 13,Description for learning path 13. This path includes various courses related to Machine Learning.,"1,4,6,8",10,beginner,2024-10-07T12:00:00.000Z,2024-10-07T12:00:00.000Z
